Project Description,Location,Contractor,Cost,Completion Date
"Construction of Zamboanga Economic Zone Seafront, San Ramon Shoreline Protection, San Ramon, Zamboanga City",ZAMBOANGA DEL SUR,YN BUILDERS AND SUPPLY,"19,071,820.96",11/28/2022
"Construction of Sawi Flood Control, Sta. 0+000 - Sta. 0+680, Boac, Marinduque",MARINDUQUE,R.T.Y. CONSTRUCTION,"86,848,824.12",11/28/2022
"Construction/Improvement of Revetment along Tiway-Tiway River, Cabuyao City, Laguna",LAGUNA,AARCON BUILDERS,"47,153,622.93",11/28/2022
"Construction of Revetment along Malitlit Waterways, (Staggered), Brgy. Malitlit, Sta. Rosa City, Laguna",LAGUNA,POWER K CONSTRUCTION SUPPLY & SERVICES / EOZ CONSTRUCTION,"43,475,714.00",11/28/2022
"Construction of Flood Control Structures along Tangisan to Takad River, Libjo, Batangas",BATANGAS,RUSMEN BUILDERS & DEVELOPMENT CORPORATION (FORMERL,"29,400,000.00",11/28/2022
"Construction of Slope Protection Structure along Tarlac River Control Left Dike, Tibagan-Tibag-Section Package B, Tarlac Citv, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"93,605,000.00",11/28/2022
"Construction of Slope Protection Structure Along Camiling River Right Bank, Surgui 1st - Cacamilingan Sur Section (Package B), Camiling, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"93,605,000.00",11/28/2022
"Construction of Slope Protection Structure with Steel Sheet Pile Foundation Along Delinquente Creek, Bacabac Section (Package B), Camiling, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"94,859,500.09",11/28/2022
"Construction of Flood Control Structure along Angat River (Sta. 0 + 672 - Sta. 1 + 007), San Pedro and Poblacion Section, Bustos and Baliuag, Bulacan",BULACAN,TBB CONSTRUCTION CORP.,"45,073,035.02",11/28/2022
"Construction of Flood Control Wall along the Banks of Creeks along Shelterville Creek, Brgy. 171 (Phase 2), Caloocan City",CALOOCAN CITY,IM CONSTRUCTION CORPORATION,"43,670,120.16",11/28/2022
"Construction of Drainage Main Along Gil Puyat Avenue Including Raising of Grade From South Super Highway (SSH) Towards Estero De Tripa De Gallina, Barangay San Isidro, Makati City",MAKATI CITY,"A.L. SALAZAR CONSTRUCTION, INC.","69,300,000.00",11/28/2022
"Construction of Riverwall along Muzon River, Baranrangay Muzon, Malabon City",MALABON CITY,AKN CONSTRUCTION CORPORATION,"39,600,000.00",11/28/2022
"Construction of Sipa-San Mariano Flood Control Structure along Apayao River, Sta. 25 + 380 - Sta. 25 + 700 (L/S), Sta. Marcela, Apayao",APAYAO,ASC CONSTRUCTION & CONCRETE PRODUCTS,"45,942,583.67",11/28/2022
"Construction of Apayao River Flood Control Structure, Sta. 82+292 - Sta. 82+592, Brgy. Nagbabalayan, Kabugao, Apayao",APAYAO,TAGEL CORPORATION,"23,872,800.00",11/28/2022
"Construction of Pang-ot Flood Control, Lagayan",ABRA,739 BUILDERS,"48,998,000.00",11/28/2022
"Construction of Buli Flood Mitigation Facilities along Major River Basin (Phase III), Sta. 5 + 400 - Sta. 5 + 700, La Paz, Abra",ABRA,739 BUILDERS,"48,997,900.00",11/28/2022
"Construction of River Control/ Drainage System at Catibac Box Culvert, K47+000.00 - K47+212.50, K47+212.50 - K47+276.00, K47+212.50 - K47+231.50, K47.1+000 - K47.10+010.00, Catarman, Camiguin",CAMIGUIN,JAPUZ-JANSOL ENTERPRISES,"19,600,000.00",11/27/2022
"Construction of River Control/ Drainage System at Tangaro Box Culvert, K38+000.00 - K39+220.00, Catarman, Camiguin",CAMIGUIN,VICTORIANO C. LIM CONSTRUCTION CORPORATION (FORMERLY: VICTORIANO C. LIM CONSTRUCTION),"92,157,449.61",11/27/2022
"Construction of Alga River Control along Alga Bridge, K38.6+000.00 - K38.6+053.00, K38.60+000 - K38.60+K160.00, Catarman, Camiguin",CAMIGUIN,JAPUZ-JANSOL ENTERPRISES,"19,034,974.80",11/27/2022
"Construction of Flood Mitigation Structure at Bito River, Sitio Tangigue, Brgy. Baybay Dagat, San Fernando, Masbate",MASBATE,A3 CONSTRUCTION & SUPPLY / SISBRO CONSTRUCTION CORPORATION (FORMERLY: SISBRO CONSTRUCTION & SUPPLY),"32,584,624.86",11/27/2022
"Construction of Anahawin River Flood Control Structures, Phase 1, Calintaan, Occidental Mindoro",OCCIDENTAL MINDORO,FFJJ CONSTRUCTION,"47,088,811.23",11/27/2022
"Construction of Flood Control Project, Busuanga River (Adela Section), Rizal, Occidental Mindoro",OCCIDENTAL MINDORO,HGG BUILDERS & SUPPLY,"48,999,488.98",11/27/2022
"Construction of Flood Control Structure, Calawis River, Brgy. Calawis, Antipolo City",RIZAL,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,"55,033,609.54",11/27/2022
"Rehabilitation of Flood Mitigation and Drainage System of Camachile River (Upstream), Sta. 21+960 - Sta. 22+128, Castillejos, Zambales",ZAMBALES,ORANI CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY:ORANI BUILDERS & SUPPLY),"77,199,999.54",11/27/2022
"Rehabilitation of Flood Mitigation Structures and Drainage System of Sta. Rita River, Sta. 7+481.60 - Sta. 7+881.00 (Right Side), Olongapo City",ZAMBALES,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),"77,199,992.48",11/27/2022
"Construction of Road Slope Protection along Tarlac-Palauig Road, San Jose, Tarlac (Phase 4)",TARLAC,"R-II BUILDERS, INC.","56,776,877.63",11/27/2022
"Rehabilitation of Dike along Lucung River (Brgy. Cubcub Section, Sta. -6+690 to Sta. -6+310 - Left Bank), Capas, Tarlac",TARLAC,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"94,756,155.00",11/27/2022
"Rehabilitation of Dike along Lucung River, Sta. (-)6+ 690 to Sta. (-)6+310 (Brgy. San Rafael Section, Right Bank), Bamban, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"94,489,688.90",11/27/2022
"Construction of Slope Protection Structure along Betis River and its Tributaries at Guagua, Pampanga",PAMPANGA,FERDSTAR BUILDERS INC.,"96,491,313.16",11/27/2022
"Construction of Slope Protection Structure at Sapang Maragul River Bank, Guagua, Pampanga",PAMPANGA,FERDSTAR BUILDERS INC.,"72,358,811.49",11/27/2022
"Rehabilitation of River Channel and Construction of Concrete Slope Protection, Malisik R.C., Candaba, Pampanga",PAMPANGA,CHOLO CONSTRUCTION AND TRADING,"82,072,158.49",11/27/2022
"Construction of Pampanga River Control, Sta. 0+000 - Sta. 0+520, Brgy. San Anton, San Leonardo, Nueva Ecija",NUEVA ECIJA,FRAMECON BUILDERS,"74,428,469.97",11/27/2022
"Construction of Slope Protection and Drainage System, Barangay Tabing Bakod, Sta. Maria, Bulacan",BULACAN,3AMR CONSTRUCTION SERVICES INC.(FORMERLY: 3AMR CONSTRUCTION SERVICES),"7,836,269.39",11/27/2022
"Construction of Flood Control Structure along Cabulandayan River, Brgy. Salud, Natividad, Pangasinan",PANGASINAN,ORIENTAL SALES CENTER AND CONTRACTOR,"29,047,823.60",11/27/2022
"Construction of Drainage System leading to Tupaz Outfall, Davao City",DAVAO DEL SUR,RITZ BUILDERS CONSTRUCTION INC. (FORMERLY:RITZTOK CONSTRUCTION AND SUPPLY) / ARCINUE COMM'L CORPORATION,"96,500,000.00",11/26/2022
"Construction of Shore Protection along Kinaguitman, Brgy. Kinaguitman, Allen, Northern Samar",NORTHERN SAMAR,CHRISTFER CONSTRUCTION & SUPPLY,"28,767,754.96",11/26/2022
"Construction of Flood Mitigation Structure of Madarag River, Sorsogon City",SORSOGON,MUNTOPAR BUILDERS CORP.,"23,118,304.01",11/26/2022
"Construction of Reinforced Concrete Slope Protection along Quitangil Creek, Magalang, Pampanga Sta. 13+310 to Sta. 14+452 (L/D)",PAMPANGA,ALEXI LOUISSE CONSTRUCTION & GENERAL MERCHANDISE / THREE-IN-ONE CONSTRUCTION & TRADING,"72,354,878.48",11/26/2022
"Construction of flood mitigation structure along magat river with channel excavation/desilting works, Barangay Turod, Municipality of Reina Mercedes, Province of Isabela",ISABELA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"48,705,999.35",11/26/2022
"Construction of Malinta Flood Control Structure along Zinundungan River, Malinta, Lasam, Cagayan",CAGAYAN,OCP CONSTRUCTION,"43,120,000.00",11/26/2022
"Construction of Flood Mitigation Structure along Casauman River, Manay, Davao Oriental",DAVAO ORIENTAL,MAC BUILDERS CORP. (FORMERLY: MAC BUILDERS DEVELOPMENT CORPORATION),"96,497,439.49",11/25/2022
"Construction of Flood Mitigation Structure along Iponan River (lponan Section), Cagayan de Oro City",MISAMIS ORIENTAL,RAMISES CONSTRUCTION,"29,399,500.50",11/25/2022
"Construction of Slope Protection along Baroy Bridge, (Upstream), Sta. 0+000.00 - Sta. 0+280.00, Baroy, Lanao del Norte",LANAO DEL NORTE,LANAO BUILDER AND ENTERPRISES,"39,200,000.00",11/25/2022
"Construction of Revetment, Downstream and Upstream of Musuan Bridge along Taganibong Creek, Maramag, Bukidnon",BUKIDNON,PHILIPPIANS CDO CONSTRUCTION CORPORATION,"23,520,000.00",11/25/2022
"Construction of Flood Control Structure of Banago River along Bacolod, Construction of Flood Mitigation Structure Silay Airport Access Road. Talisay City, Negros Occidental",NEGROS OCCIDENTAL,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"48,998,000.00",11/25/2022
"Construction of River Slope Protection along Bicol River, Ombao Heights-Ombao Polpog, Bula, Camarines Sur",CAMARINES SUR,ALRO CONSTRUCTION & DEVELOPMENT CORP.,"39,116,647.55",11/25/2022
"Construction of Daet River Control Structure, Alawihao Section, Barangay Alawihao, Daet, Camarines Norte",CAMARINES NORTE,BRENTMIN ROOFING ENTERPRISE,"42,139,793.86",11/25/2022
"Construction of River Control, Barangay Mabilo I - Barangay San Antonio, Labo, Camarines Norte",CAMARINES NORTE,BRENTMIN ROOFING ENTERPRISE,"48,997,951.93",11/25/2022
"Rehabilitation of San Francisco River Flood Mitigation Structure, Guinobatan, Albay",ALBAY,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC. / FS CO BUILDERS AND SUPPLY,"49,499,990.45",11/25/2022
"Rehabilitation of Basud River Flood Control System (Upstream), Sto. Domingo, Albay",ALBAY,3DIAMONDS CONSTRUCTION CORPORATION,"49,000,000.00",11/25/2022
"Construction of Road Slope Protection along San Jose, Tarlac - Palauig, Zambales Road (Package G), San Jose, Tarlac",TARLAC,"LOUREL DEVELOPMENT CORPORATION (FORMERLY :LOUREL D / THREE W BUILDERS, INC.","94,261,200.00",11/25/2022
"Construction of Road Slope Protection along San Jose, Tarlac - Palauig, Zambales Road (Package H), San Jose, Tarlac",TARLAC,"LOUREL DEVELOPMENT CORPORATION (FORMERLY :LOUREL D / THREE W BUILDERS, INC.","94,251,550.00",11/25/2022
"Construction of Road Slope Protection Structures along San Jose, Tarlac-Palauig, Zambales Road (Package 6), San Jose, Tarlac",TARLAC,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),"93,815,457.98",11/25/2022
"Construction of Road Slope Protection Structures along San Jose, Tarlac-Palauig, Zambales Road (Package 7), San Jose, Tarlac",TARLAC,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),"94,473,488.06",11/25/2022
"Construction of Flood Control Structure at Talisay River, Brgy. Central (Station 9+481 - Station 9+810) City of Balanga, Bataan",BATAAN,E.R. VENZON CONSTRUCTION / VF CONSTRUCTION,"49,000,000.00",11/25/2022
"Construction of Flood Control Structure at Brgy. Camarag-Fugu bridge Approach, Brgy. Camarag, San Isidro, Isabela",ISABELA,MA TESORO CONSTRUCTION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"96,500,000.00",11/25/2022
"Construction of Riverbank Protection along Agno River Basin, Brgy. Umanday, Bugallon, Pangasinan",PANGASINAN,ALCEL CONSTRUCTION,"39,196,253.39",11/25/2022
"Construction of Riverbank Protection along Agno River Basin, Brgy. Bolaoen, Bugallon, Pangasinan",PANGASINAN,PANGASINAN NEW WILSON LUMBER & CONSTRUCTION SUPPLY,"29,397,122.87",11/25/2022
"Construction (Completion) of Marikina River Drainage Outfall, Brgy. J. Dela Peña, Marikina City",MARIKINA CITY,C.S.L. CONSTRUCTION CORPORATION / ST. TIMOTHY CONSTRUCTION CORPORATION,"94,907,798.15",11/25/2022
"Construction of Flood Mitigation Structure within Naguilian River Basin: along Naguilian River Section 2 (Bolo Creek), La Trinidad, Benguet",BENGUET,D.G.O. CONSTRUCTION,"24,487,767.70",11/25/2022
"Construction of Drainage Structure Along Batasan Creek, Sta. 0+000 - Sta. 1+440, Brgy. Bagumbayan, Lupon, Davao Oriental",DAVAO ORIENTAL,RMT CORPORATION (FORMERLY: MELROBE BUILDERS & CONSTRUCTION SUPPLIES) / ABU CONSTRUCTION,"49,000,000.00",11/24/2022
"Construction of Catarman Flood Control Structure (Catarman River Basin), Package A, Brgy. Bangkerohan, Catarman, Northern Samar",NORTHERN SAMAR,EZJONES CONSTRUCTION INC.,"104,217,207.66",11/24/2022
"Construction of San Andres Breakwater Phase 2, San Andres Catanduanes",CATANDUANES,"AL-JON CONSTRUCTION DEVELOPMENT, INC. (FORMERLY: ALJON CONSTRUCTION & SUPPLY)","29,398,756.61",11/24/2022
"Construction of San Nicolas River Control Structure, Brgy. Cabanbanan, San Vicente, Camarines Norte",CAMARINES NORTE,BRENTMIN ROOFING ENTERPRISE,"42,139,953.11",11/24/2022
"Construction of Flood Control Structure along Disakan River (Upstream and Downstream), Manukan and Jose Dalman, Zamboanga del Norte",ZAMBOANGA DEL NORTE,ESR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: ESR CONSTRUCTION & SUPPLIES),"67,418,646.51",11/24/2022
"Construction of Flood Control, Langatian, Pres. Manuel Roxas, Zamboanga del Norte",ZAMBOANGA DEL NORTE,GOLDEN LION CONSTRUCTION,"4,919,990.04",11/24/2022
"Rehabilitation of Dike along Rio Chico River, Downstream of Rio Chico Bridge, Sta.0+943.75 to Sta.1+349.75 (Brgy. San Roque Section, Right Bank), La Paz, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"94,547,166.18",11/24/2022
"Rehabilitation of Dike along O'Donnell River (Brgy. Sta. Juliana Section, Right Bank), Capas, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"96,011,740.90",11/24/2022
"Rehabilitation of Dike along O'Donnell River (Brgy. Maruglu Section, Sta.2+603.00 to Sta. 3+137.00 - Right Bank), Capas, Tarlac",TARLAC,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"94,757,810.20",11/24/2022
"Construction of Slope Protection Structure, Sacobia-Bamban River, Left Bank, Brgy. San Francisco, Concepcion, Tarlac",TARLAC,FERDSTAR BUILDERS INC.,"93,169,679.22",11/24/2022
"Rehabilitation of River Bed Flood Control Structure along Brgy. Bambanaba, Cuyapo, Nueva Ecija",NUEVA ECIJA,AMP 723 CONSTRUCTION CORPORATION (FORMERLY: A.M.P. CONSTRUCTION),"19,403,996.40",11/24/2022
"Rehabilitation of San Juan River, Phase III, Quezon City",QUEZON CITY,WAWAO BUILDERS,"43,100,448.71",11/24/2022
"Construction of Central Buguias Flood Control along Agno River, Poblacion, Buguias, Benguet",BENGUET,BTCJR CONSTRUCTION AND ENGINEERING SERVICES,"24,469,548.92",11/24/2022
"Construction of Cabicungan Flood Control Structure, Sta. 13 + 580 - Sta. 13 + 605 (L/S), Sta 13+180-Sta 13+280 (L/S), Sta 13+460-Sta 13+510 (R/S), Sta 13+230-Sta 13+430 (R/S), Calanasan, Apayao",APAYAO,ASC CONSTRUCTION & CONCRETE PRODUCTS,"47,521,251.30",11/24/2022
"Construction of Concrete Revetment, Tagum - Libuganon River Basin, Maniki Section, Sta. 5+350 - Sta. 5+730, Kapalong, Davao del Norte",DAVAO DEL NORTE,TAGUM BUILDERS CONTRACTORS CORP. (FORMERLY: TAGUM,"86,849,997.25",11/23/2022
"Construction of Flood Control along Kinayan River, Sta. 0+000 - Sta. 0+500 (BS, US), Guihulngan City, Negros Oriental",NEGROS ORIENTAL,MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,"19,600,000.00",11/23/2022
"Construction of Flood Control Structure, Tinago Phase 2, Sta. 0 + 250 - Sta. 0 + 450, Camalig, Albay",ALBAY,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,"48,998,250.84",11/23/2022
"Construction of Manaul II River Control, Mansalay, Oriental Mindoro",ORIENTAL MINDORO,D.M. MALIWANAG BUILDERS AND ENTERPRISES,"19,599,928.35",11/23/2022
"Construction of Flood Control Structure, Ilog Bayan River, San Jose Del Monte City, Bulacan",BULACAN,"L.R. TIQUI BUILDERS, INC.","94,568,676.93",11/23/2022
"Construction of Flood Control Structure, along NCR/ Bulacan Bdry. - Bigte - Ipo Dam Road Ilog Bayan River, San Jose Del Monte City, Bulacan",BULACAN,"L.R. TIQUI BUILDERS, INC.","94,569,655.86",11/23/2022
"Construction of Santo Domingo Flood Control Structure, Minuri, Jones, Isabela",ISABELA,MAR-DEB CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY: MAR-DEB CONSTRUCTION & DEVELOPMENT),"34,300,000.00",11/23/2022
"Construction of Slope Protection Works along San Francisco - Ambitacay Road, Agoo, La Union Sta. 000 + 200 - Sta. 000 + 234",LA UNION,"S-ANG CONSTRUCTION & GENERAL TRADING, INC.","4,751,694.41",11/23/2022
"Construction of Flood Control Structure, Bagwang Proper, Sta. 088+900 - Sta. 089+500 (R.S.), Palitod, Paracelis, Mountain Province",MOUNTAIN PROVINCE,MG SAMIDAN CONSTRUCTION / A.P.O. GENERAL CONSTRUCTION,"57,900,000.00",11/23/2022
"Construction of Revetment along Davao River, Sta. 3+141 to Sta. 3+473, Davao City",DAVAO DEL SUR,RAKKI CORPORATION / RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),"86,136,865.00",11/22/2022
"Construction of Revetment along Davao River, Sta. 3+141 to Sta. 3+473, Davao City",DAVAO DEL SUR,RAKKI CORPORATION / RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),MYCA with Project ID P00420021MN,11/22/2022
"Construction of Flood Mitigation Structure along Lahug River, Cebu City",CEBU,GONZALODO ENTERPRISES,"49,000,000.00",11/22/2022
"Construction of Binalbagan River Bank Slope Protection Downstream of Binalbagan (Bagacay) Br. Right Bank, Phase II, Isabela, Negros Occidental",NEGROS OCCIDENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"44,100,000.00",11/22/2022
"Construction of Daet River Control Structure, Brgy. Camambugan, Daet, Camarines Norte",CAMARINES NORTE,WIZARD CONCRETE SOLUTIONS AND CONSTRUCTION CORPORATION (FORMERLY: WIZARD TRADING & CONSTRUCTION),"82,021,322.03",11/22/2022
"Construction of Drainage System along Balud-Busaran Road, Sta. 0+000 - Sta. 1+709, Sablayan, Occidental Mindoro,",OCCIDENTAL MINDORO,F.A. TORRES CONSTRUCTION,"33,972,197.78",11/22/2022
"Rehabilitation of Slope Protection of Calaca Bridge, Calaca River, Calaca, Batangas",BATANGAS,X.Y.Z. CONSTRUCTION & SUPPLIES / V.R. PATRON BUILDERS & DEVELOPERS CORP. (PREVIOUSL,"49,000,000.00",11/22/2022
"Construction of Slope Protection Structure along Tarlac River Control Left Dike, Tibagan-Tibag-Section Package C, Tarlac Citv, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"93,605,000.00",11/22/2022
"Construction of Slope Protection Structure along Camiling River (Packaqe B - Right Bank), Sawat - Bilad Section, Camiling, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"93,605,000.00",11/22/2022
"Construction of Slope Protection Structure along Camiling River (Package H - Right Bank), Tambugan - Sawat Section, Camiling, Tarlac",TARLAC,IM CONSTRUCTION CORPORATION,"93,624,301.65",11/22/2022
"Construction of Slope Protection Structure along Camiling River, Poblacion D to G Section (Package C), Camiling, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"96,500,000.00",11/22/2022
"Construction of Flood Control Structures along Balagtas River Sta. 00+760 to Sta. 00+960 Brgy. Dalig, Balagtas, Bulacan",BULACAN,"WBX CONSTRUCTION, INC (FORMERLY WBX CONSTRUCTION)","24,498,166.71",11/22/2022
"Construction of Flood Control Facility, Brgy. Umiray, Dingalan, Aurora",AURORA,DALCON CONSTRUCTION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"91,283,210.00",11/22/2022
"Installation of Booster Pump including Accessories along Estero de San Miguel at Nepomuceno St. (Phase II), Manila City",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES,"89,014,172.00",11/22/2022
"Rehabilitation of Maligaya Creek, Barangay 118 and 120, Caloocan City",CALOOCAN CITY,J. SIMEON CONSTRUCTION,"38,405,318.07",11/22/2022
"Construction (Completion) of Flood Control Structure, Barangay Buli, Muntinlupa City",MUNTINLUPA CITY,AKN CONSTRUCTION CORPORATION,"49,174,889.46",11/22/2022
"Rehabilitation of Drainage at Brgy. Pamplona 1, Las Piñas City",LAS PIÑAS CITY,KPSL GENERAL CONTRACTOR INC.,"14,694,920.46",11/22/2022
"Rehabilitation of Drainage System, Brgy. Talon 2, Las Piñas City",LAS PIÑAS CITY,DAVHEZ TRADING & CONSTRUCTION,"18,619,999.97",11/22/2022
"Construction of Flood Control (Baoy River) Purok 4, Barangay Magallanes, Claver, Surigao del Norte",SURIGAO DEL NORTE,"CHARLZ CONSTRUCTION, INC.","57,899,995.35",11/21/2022
"Construction of Baoy River Flood Control Structure, Barangay San Isidro, Gigaquit, Surigao del Norte",SURIGAO DEL NORTE,"CHARLZ CONSTRUCTION, INC.","39,195,621.87",11/21/2022
"Construction of River Control Structure, Barangay Dugsangon, Bacuag, Surigao del Norte",SURIGAO DEL NORTE,JMT CONSTRUCTION,"48,999,993.79",11/21/2022
"Construction of Flood Mitigation Structure along Baganga River (Magum Section), Baganga, Davao Oriental",DAVAO ORIENTAL,GP & H CONSTRUCTION INCORPORATED (FORMERLY: GP & H CONSTRUCTION & SUPPLY),"96,499,762.52",11/21/2022
"Construction of Slope Protection along Sta. Filomena - Bonbonon - Digkilaan - Rogongon Road (Dungo-an Section), Barangay Rogongon, Iligan City, Lanao del Norte",LANAO DEL NORTE,OLISON CORPORATION / A.C. RIVERO DEVELOPMENT CORPORATION,"39,200,000.00",11/21/2022
"Construction of Flood Control Structure at Brgy. Kalagangan, Sta. 0+200 - Sta. 0+500 (RS) and Sta. 0+400 - Sta. 0+600 (LS), San Fernando, Bukidnon",BUKIDNON,JEJOR'S CONSTRUCTION CORPORATION,"48,955,205.61",11/21/2022
"Construction of Flood Control along Solano River, Tanauan, Leyte",LEYTE,888 ACY ENTERPRISES / JGO BUILDERS,"44,099,637.41",11/21/2022
"Construction of Flood Control Structure at Barangay Caduawan, Sta. 0+000 - Sta. 1+163, Tabogon, Cebu",CEBU,PRIME GIGABUILD CONSTRUCTION CORP. (FORMERLY: RON DANIELL CONSTRUCTION CORPORATION),"72,375,000.00",11/21/2022
"Construction of Flood Mitigation Structure along Sipalay River, Sipalay City, Negros Occidental",NEGROS OCCIDENTAL,JAIME B. CHING ENTERPRISES,"52,834,715.00",11/21/2022
"Construction of San Andres Breakwater, San Andres, Catanduanes",CATANDUANES,"AL-JON CONSTRUCTION DEVELOPMENT, INC. (FORMERLY: ALJON CONSTRUCTION & SUPPLY)","48,998,742.08",11/21/2022
"Construction of Flood Mitigation Structure along Sagnay River, Sagñay, Camarines Sur",CAMARINES SUR,IA FERRER CONSTRUCTION & SUPPLY,"29,400,000.00",11/21/2022
"Construction of Flood Control, Barangay Dagotdotan, San Lorenzo Ruiz, Camarines Norte",CAMARINES NORTE,128 DRAGON CONSTRUCTION AND SUPPLIES,"40,884,642.31",11/21/2022
"Construction of Protection Works (Seawall) along Frenza River, Guinayangan, Quezon",QUEZON,MURIELEVEN BUILDERS AND CONSTRUCTION SUPPLY CORP.,"19,600,000.00",11/21/2022
"Construction of Road Dike along Julian River, Brgy. Malagasang I-E, East Side, Imus, Cavite",CAVITE,N.B. AVILA CONSTRUCTION,"90,665,610.00",11/21/2022
"Construction of Revetment along Julian River, Brgy. Malagasang I-F, West Side, Imus, Cavite",CAVITE,N.B. AVILA CONSTRUCTION,"90,710,000.00",11/21/2022
"Construction of Road Dike along Julian River, Brgy. Malagasang II-A, East Side, Imus, Cavite",CAVITE,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","90,710,000.00",11/21/2022
"Construction of Revetment along Cañas River, Brgy. Poblacion I, Phase II, Tanza, Cavite",CAVITE,AD PINEDA CONSTRUCTION / N.B. AVILA CONSTRUCTION,"49,000,000.00",11/21/2022
"Rehabilitation of River Control Structures, Malis (Bagbag Creek), Guiguinto, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / BLACK HARDHAT INC. (FORMERLY: JCHARDHAT INC.),"45,079,969.53",11/21/2022
"Rehabilitation of River Control Structures, Sta. Cruz (Bagbag Creek), Guiguinto, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / BLACK HARDHAT INC. (FORMERLY: JCHARDHAT INC.),"45,079,969.52",11/21/2022
"Rehabilitation of Flood Control Structures along Guiguinto River, Malis Section, Guiguinto, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / BLACK HARDHAT INC. (FORMERLY: JCHARDHAT INC.),"45,077,524.96",11/21/2022
"Construction of Flood Control Structures along Bocaue River, K003 + 593.60 - K003 + 850, Bunlo, Bocaue, Bulacan",BULACAN,BLACK HARDHAT INC. (FORMERLY: JCHARDHAT INC.),"27,439,393.37",11/21/2022
"Rehabilitation of River Control Structures along Bocaue River, Bambang, Bocaue, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / BLACK HARDHAT INC. (FORMERLY: JCHARDHAT INC.),"45,079,631.44",11/21/2022
"Rehabilitation of River Control Structures along Bocaue River, Sulucan, Bocaue, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / BLACK HARDHAT INC. (FORMERLY: JCHARDHAT INC.),"45,079,631.44",11/21/2022
"Construction of Flood Control Structure at Talisay River, Brgy. Ala-uli (Station 9+083 - Station 9+412) Pilar, Bataan",BATAAN,POLYMER-VIC CONSTRUCTION,"49,000,000.00",11/21/2022
"Construction of Flood Control Structure at Brgy. Papan Este, Jones, Isabela",ISABELA,MA TESORO CONSTRUCTION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"96,500,000.00",11/21/2022
"Construction of Flood Control Project along Ilagan River (Sta. 0+000 - Sta. 0+950), Brgy. Malalam, City of Ilagan, Isabela",ISABELA,DRAGON TWELVE BUILDERS & CONSTRUCTION SUPPLY,"48,780,682.50",11/21/2022
"Rehabilitation of San Juan River, Phase I, Quezon City",QUEZON CITY,M.S. RAMOS CONSTRUCTION INC. (FORMERLY: M.S. RAMOS,"43,077,774.26",11/21/2022
